start	end	text
0	7000	Good morning, Harbour Point, come on, all over this room, would you stand up and put your hands up for a little bit more?
30000	38000	Together, we come to celebrate the one that we believe in. That is Jesus Christ. Come on, put those hands.
39000	40000	Let's sing.
56000	59000	If you believe, won't you put them together?
60000	65000	Yeah, I believe in crucifixion.
65000	69000	By His blood, I have been severed.
69000	73000	I believe in resurrection.
73000	78000	Hallelujah, if a life is death to me.
78000	80000	Let's sing all praise.
108000	112000	Hallelujah, yes I do.
112000	119000	Hallelujah, I believe in Him.
119000	123000	I believe in the hope of heaven.
123000	127000	He's preparing the place for me.
127000	130000	Far beyond my heart's imagine.
130000	134000	Here's a bird and night I see.
134000	138000	I believe that He's going.
138000	141000	His return is to blame, it's bright.
141000	145000	Light the altar, keep it burning.
145000	152000	See the light, the rose of holy light, yeah.
152000	156000	All praise to the Father.
156000	159000	All praise to Christ the Son.
159000	163000	All praise to the Holy Spirit.
163000	167000	Our God has overblown.
167000	173000	The King, the Word, there is, and never more will be.
173000	181000	And Jesus, writing in, I believe, yeah.
181000	187000	I believe in You, Lord, and I trust You.
187000	192000	I believe in You, though I'll never be ashamed.
192000	197000	Of the gospel of Jesus Christ.
197000	200000	How could I ever walk away?
200000	203000	Will the Word have saved my life?
203000	204000	No, I'll never.
204000	207000	No, I'll never be ashamed.
207000	210000	Of the gospel of Jesus.
210000	214000	How could I ever walk away?
214000	217000	From the Word who saves my life?
217000	218000	No, I'll never.
218000	221000	No, I'll never be ashamed.
221000	225000	Of the gospel of Jesus Christ.
225000	229000	How could I ever walk away?
229000	233000	From the Word who saves my life?
233000	235000	No, I'll never.
235000	239000	All praise to the Father.
239000	242000	All praise to Christ the Son.
242000	246000	All praise to the Holy Spirit.
246000	250000	Our God has overblown.
250000	256000	The King, the Word, there is, and never more will be.
256000	263000	And Jesus, writing in, I believe.
263000	270000	And Jesus, writing in, I believe.
270000	276000	I believe, I believe, I believe, I believe, I believe.
276000	283000	I believe in you.
283000	286000	How can you believe in Jesus today?
286000	288000	Won't you give him some praise?
288000	291000	We serve a God that is more than able.
291000	295000	Now unto him who is more than able to do exceeding,
295000	298000	abundantly, how baffled we can ask for things.
298000	301000	Continue on our worship and sing unto the Lord.
301000	304000	We trust you to depend on the Lord.
304000	306000	The Son.
306000	311000	When did I start to forgive?
311000	316000	All of the great things you did.
316000	321000	And when did I throw away my faith for Him?
321000	326000	In the gospel of love?
326000	331000	And how did I start to believe?
331000	336000	You were to fish and fall.
336000	339000	And why do I talk my sick?
339000	343000	How can I forgive you?
343000	346000	How can you believe in God?
346000	353000	You are more than able.
353000	360000	You are more than able.
360000	365000	Stay it again.
365000	370000	You are more than able.
370000	372000	Oh, hear the people today,
372000	376000	waiting loud.
376000	379000	You are more than able.
379000	386000	So who art to deny what the Lord can do?
386000	416000	Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
416000	428800	oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
440000	444000	oh
446000	456000	More than able to rely, to deny what the Lord can do
456000	458000	Can't you imagine?
458000	463000	And all of the faith in the room, what the Lord can do
463000	465000	What the Lord can do
465000	468000	Yeah, it's gonna happen
468000	470000	Just like the way we make it through
470000	473000	It's gonna load
473000	474000	It's gonna load
474000	476000	Can't you imagine?
476000	478000	Can't you imagine?
478000	480000	With all of the faith in the room
480000	482000	What the Lord can do
482000	485000	What the Lord can do
485000	487000	And it's gonna happen
487000	490000	Just like the way we make it through
490000	492000	It's gonna load
492000	495000	It's gonna load
495000	498000	Anything is possible
498000	500000	We declare it today
500000	503000	Anything is possible
504000	508000	Anything is possible
508000	514000	So you and I, to deny what the Lord can do
514000	519000	Anything is possible
519000	522000	Anything is possible
522000	524000	They believe in you
524000	527000	Anything is possible
527000	533000	So you and I, to deny what the Lord can do
533000	538000	So you and I, to deny what the Lord can do
538000	545000	So you and I, to deny what the Lord can do
545000	550000	Yeah, it's easy for you
550000	553000	I believe in you
553000	559000	See, you are more than people
559000	561000	Why don't you close your eyes and sing that
561000	563000	It's a place of faith to sing
563000	573000	So you are more than people
573000	579000	You are more than people
579000	582000	We trust you are
582000	587000	You are more than people
